wav_id,발화문,상황,1번 감정,1번 감정세기,2번 감정,2번 감정세기,3번 감정,3번 감정세기,4번 감정,4번감정세기,5번 감정,5번 감정세기,나이,성별
5ed10dbc2880d70f286121c3,개를 예쁘다고 사놓고 끝까지 키우지도 않고 버리는 사람들이 엄청 많아졌대.,disgust,Angry,2,Angry,2,Angry,2,Angry,2,Angry,2,33,female
5ecb60ef9aa8ea0eec53edb1,지금도 그대로 있어. 치우는 사람이 없어.,disgust,Neutral,0,Disgust,2,Sadness,2,Disgust,2,Disgust,1,48,female
5f052858b140144dfcfef768,맞아. 무기력증인 것 같아. 한동안 정말 바빴었거든.,sad,Sadness,2,Sadness,1,Sadness,2,Sadness,2,Sadness,2,48,female
5f0e72c4b140144dfcff3fa5,오늘이 발표날인데 연락이 없더라고. 그래서 알아봤더니 명단에 내 이름이 없대.,sad,Sadness,1,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5ed10ddd7e21a10eee2537ce,그치. 개 키우는 사람이 늘어나니까 그만큼 버리는 사람도 늘어나는 거야!,disgust,Angry,2,Angry,2,Angry,2,Angry,2,Sadness,2,33,female
5f0e72e1b140144dfcff3fa6,공채로 볼 수 있는 마지막 회사였어. 그래서 정말 많이 노력했거든.,sad,Sadness,1,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5ed10e039aa8ea0eec53f0ee,버려진 개가 워낙 많으니까 시설이 부족할 수 밖에 없고 당연히 상황이 너무 열악하지.,disgust,Angry,2,Angry,2,Angry,2,Angry,2,Sadness,2,33,female
5f01ce9510dbee4d2f789ad8,나 면접 또 떨어졌어.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0e72fbb140144dfcff3fa7,부모님께서 기대가 너무 크셔서 실망도 크실까봐 아직 말씀 못 드렸어.,sad,Sadness,1,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5ed10e31c90a530ee56b5898,그렇지! 아 나 진짜 너무 싫어 그런 사람들. 대체 생명이 있는 개를 뭐라고 생각하는 거야?,disgust,Angry,2,Angry,2,Angry,2,Angry,2,Angry,2,33,female
5ecb613b79bf120ed2b80ee4,지난 번에 토 해놓은 것도 관리하시는 분이 치우셨거든. 또 어떻게 말씀 드리지?,disgust,Neutral,0,Disgust,2,Sadness,2,Disgust,2,Fear,1,48,female
5f07bffeb140144dfcff09a8,"해피가 어제 세상을 떠났어.	",sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0e7342b140144dfcff3fa9,오늘은 아침부터 입맛이 없어서 아무것도 못 먹고 있어. 이따가 저녁에나 먹으려고.,sad,Sadness,1,Sadness,1,Sadness,2,Sadness,2,Sadness,2,48,female
5f0fa5e6b140144dfcff4734,아빠가 또 다쳤어.,anger,Sadness,1,Sadness,2,Sadness,1,Sadness,2,Sadness,2,38,female
5f07c011b140144dfcff09aa,그저께 밤에 갑자기 쓰러지더니 어제 끝내 눈을 감았어.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0e7377b140144dfcff3fac,난 잘하는 게 하나도 없나봐.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5eff3d35704f492ee125534c,퇴사고민을 같이 이야기할 사람이 아무도 없어.,anger,Sadness,1,Sadness,1,Sadness,1,Sadness,2,Sadness,1,46,female
5f07c028b140144dfcff09ad,"전혀 괜찮지가 않아 15년 동안 같이 지내 왔잖아 갑자기 그렇게 가니깐 다들 상실감이 큰가 봐.	",sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0e738eb140144dfcff3fad,밤새워 준비한 기획안을 또 퇴짜맞았어.,sad,Sadness,2,Sadness,1,Sadness,2,Sadness,2,Sadness,2,48,female
5f0e73a6b140144dfcff3fae,나갔다 왔어. 선배가 커피 사준대서 마시고 왔지.,sad,Neutral,0,Sadness,1,Sadness,1,Sadness,2,Sadness,2,48,female
5ed979dc7e21a10eee253e90,맞아. 버려지는 대부분의 아이들이 다 큰 강아지들이었어. 아직도 그 상처 받은 눈들을 잊혀지지가 않아.,disgust,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f01cf40b140144dfcfecec6,나는 잘 하는 게 하나도 없나봐.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f07c069b140144dfcff09b3,맞아 좋은 곳으로 갔을 거라고 생각해. 정말 착하고 예쁜 아이였어.,sad,Happiness,1,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0c79c3b140144dfcff2f76,해피가 어제 세상을 떠났어.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0e73c3b140144dfcff3faf,"기획안 지적 받은 것만 몇 고치고 일찍 퇴근 좀 해 보려고.	",sad,Neutral,0,Sadness,1,Sadness,1,Sadness,2,Sadness,2,48,female
5f07c099b140144dfcff09bc,나 면접 또 떨어졌어.,sad,Angry,1,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0c79dab140144dfcff2f77,그저께 밤에 갑자기 의식을 잃더라구. 그러더니 어제 끝내 눈을 감았어.,sad,Sadness,2,Sadness,2,Sadness,1,Sadness,2,Sadness,2,48,female
5f0e73f8b140144dfcff3fb1,정말 그런 날이 올 수 있을까? 난 정말 열심히 노력하는 사람이거든.,sad,Sadness,1,Sadness,1,Sadness,1,Sadness,2,Sadness,2,48,female
5ef7f6a6497740547350bcd9,어제 저녁에 진짜 무서웠어.,fear,Fear,2,Fear,2,Fear,2,Fear,2,Fear,2,48,female
5ef74a52497740547350bb84,화장실에 누가 토해놓고 치우지도 않았어.,disgust,Disgust,1,Disgust,2,Disgust,1,Disgust,2,Angry,1,48,female
5efa05fc8bbcd61f551d2931,나 그 사람이랑 헤어졌어. ,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f07c0acb140144dfcff09be,오늘이 발표 날인데 연락이 없어서 알아봤더니 명단에 내 이름이 없대.,sad,Angry,1,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0864c7b140144dfcff12cb,권태기가 왔다고 잠깐 시간을 갖자고 하더라고. 그런데 알고봤더니 새로운 사람이 생긴 거였어.,sad,Sadness,1,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0c79f3b140144dfcff2f78,"해피는 우리 집에 온 지 15년이 지났어 그러니 가족들 상실감은 이루 말할 수 없지.	",sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0e74d0b140144dfcff3fbc,해피가 어제 세상을 떠났어.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5ef95b8cbed0201b73513c67,많이 어렵지는 않았어. 하지만 내가 너무 부담스러웠었나봐. 내가 준비한 걸 다 못 보여줬어.,sad,Sadness,2,Sadness,1,Sadness,2,Sadness,2,Sadness,2,48,female
5f07c0c95a7f574dce591edf,"정말 가고 싶은 회사여서 이 회사만 준비했어 그리고 공채로 보는 마지막 회사였기 때문에 다른 회사는 또 없어.	",sad,Sadness,1,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0864e3b140144dfcff12d1,"3년 전에 친구 소개로 만나게 되었어.	",sad,Neutral,0,Sadness,1,Sadness,1,Sadness,2,Sadness,2,48,female
5f0c7a0fb140144dfcff2f79,"아직 경황이 없어서 작년까지는 생각을 못 해봤어 아빠가 준비하실 거야.	",sad,Neutral,0,Sadness,2,Sadness,1,Sadness,2,Sadness,2,48,female
5f0e74e1b140144dfcff3fbd,그저께 밤에 갑자기 의식을 잃더라고. 그러더니 어제 끝내 눈을 감았어. ,sad,Sadness,1,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f07c0ebb140144dfcff09c6,부모님께서 기대가 너무 크셔서 말씀 못 드렸어.,sad,Fear,1,Sadness,2,Sadness,2,Sadness,2,Fear,2,48,female
5f0c7a2ab140144dfcff2f7a,맞아. 좋은 곳으로 갔을 것 같애. 정말 착하고 예쁜 아이였어.,sad,Sadness,2,Sadness,2,Sadness,1,Sadness,2,Sadness,2,48,female
5f0e74fdb140144dfcff3fbe,15년을 키운 강아지잖아. 가족들 마음에 많이 힘들어 해.,sad,Sadness,1,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5ef95be4bed0201b73513c6b,해피가 어제 세상을 떠났어.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f07c1065a7f574dce591ee1,앞날이 불안해서 그런가 입맛도 없어. 이따 저녁에 부모님과 같이 먹어야지. 그리고 말씀 드려야되겠지.,sad,Fear,1,Sadness,2,Sadness,2,Sadness,2,Fear,2,48,female
5f086510b140144dfcff12db,헤어진 지 이제 두 달 다 돼가 그런데 잊혀지지가 않아.,sad,Sadness,1,Sadness,1,Sadness,2,Sadness,2,Sadness,2,48,female
5f0e751ab140144dfcff3fbf,시간이 지나면 잊혀지겠지만 지금은 가슴이 너무 찢어져.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,1,48,female
5f0475eeb140144dfcfef014,나 그 사람이랑 헤어졌어.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f086532b140144dfcff12e0,그 사람한테 받은 상처가 커서 금방 잊혀질 줄 알았는데 마음 정리가 정말 쉽지가 않아.,sad,Sadness,1,Sadness,1,Sadness,2,Sadness,2,Sadness,2,48,female
5f0e752fb140144dfcff3fc0,알아. 좋은 곳으로 갔을 거라고 우리도 믿어. 정말 착한 아이였거든.,sad,Neutral,0,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5ed848c3c90a530ee56b5e78,어제 저녁에 진짜 무서웠어.,fear,Fear,2,Fear,2,Fear,2,Fear,2,Fear,1,35,female
5ecbaf902880d70f28611eaf,어제 지진 났어. 너도 느꼈니?,fear,Fear,2,Fear,2,Surprise,2,Fear,2,Surprise,2,38,female
5ed97b191dcf350eeded50c1,"당연히 화는 내봤지. 화 낼 때마다 미안하고는 해. 다음엔 같이 하겠다고 하고. 또, 그러고는 또 나가. 이해할 수 없는 반복을 계속 해.",anger,Angry,1,Angry,2,Angry,1,Angry,2,Angry,1,48,female
5ecbb01f2880d70f28611eb2,누가 화장실에 토해냈어!,disgust,Disgust,2,Disgust,2,Disgust,2,Disgust,2,Disgust,2,38,female
5efd9104704f492ee1253bc9,약속을 잡을 때마다 매번 늦어. 그래서 너무 화가 나.,anger,Angry,2,Angry,2,Angry,1,Angry,2,Angry,1,46,female
5ecbb0339aa8ea0eec53edb4,응 어제밤에 누가 토 해놨나봐! 아직 그대로 있어!,disgust,Disgust,2,Disgust,2,Disgust,2,Disgust,2,Disgust,1,38,female
5efd9135704f492ee1253bcb,"친구가 약속 시간에 늦어도 내가 매번 참고 넘어갔는데, 이번에는 친구한테 이야기 좀 해봐야겠어.",anger,Angry,2,Angry,2,Angry,2,Angry,2,Angry,1,46,female
5ed988321dcf350eeded50ca,누가 화장실에 토를 하고 안 치웠어!,disgust,Disgust,1,Disgust,2,Disgust,2,Disgust,2,Disgust,1,35,female
5ecbb04a9aa8ea0eec53edb5,"깜짝 놀랬어. 냄새도 나고. 야, 오늘 밥은 못 먹겠다.",disgust,Disgust,2,Disgust,2,Disgust,2,Disgust,2,Disgust,1,38,female
5efd9368704f492ee1253bd7,해피가 어제 세상을 떠났어.,sad,Sadness,2,Sadness,2,Sadness,1,Sadness,2,Sadness,1,46,female
5efa07568bbcd61f551d2940,해피가 어제 세상을 떠났어.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f086654b140144dfcff1300,밤 새워 준비해 온 기획안을 또 퇴짜 맞았어!,sad,Sadness,1,Sadness,1,Sadness,2,Sadness,2,Sadness,2,48,female
5ecfae3ec90a530ee56b57e2,우웩 화장실에 누가 토해놓고 치우지도 않고 그냥 갔어.,disgust,Disgust,2,Disgust,2,Disgust,2,Disgust,2,Disgust,1,48,female
5ef7f83a497740547350bcec,맞아. 무기력증이 온 것 같아. 한 달동안 정말 바빴었거든. 쉴 수도 없이 일만 하고 있었어. 그러니 몸이 견뎌내질 못 하는 것 같아.,sad,Sadness,2,Sadness,1,Sadness,2,Sadness,2,Sadness,2,48,female
5f047677b140144dfcfef01e,나 면접 또 떨어졌어.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5ecfae5ec90a530ee56b57e3,사람들 정말 최악이지. 지금도 그냥 그대로 있는 것 같아. 그 곳 화장실을 사람들이 사용하질 않아.,disgust,Angry,2,Disgust,2,Disgust,1,Disgust,2,Angry,1,48,female
5f04768fb140144dfcfef01f,오늘이 발표날이었어. 전화가 안 오더라고. 그래서 알아봤더니 명단에 내 이름이 없더래.,sad,Sadness,2,Sadness,2,Sadness,1,Sadness,2,Sadness,2,48,female
5ef7f8a7497740547350bcf1,유기견 다큐멘터리를 봤는데 무책임한 사람들 때문에 정말 화가 나.,disgust,Angry,1,Angry,2,Angry,2,Angry,2,Angry,1,48,female
5efe15b2704f492ee1253d86,나 결국 헤어졌어.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0476d2b140144dfcfef021,아직 말씀 못 드렸어. 너무 기대가 크셔서 실망하실까봐.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0d9a7fb140144dfcff388e,"아 나 룸메랑 또 싸웠어.	",anger,Angry,1,Sadness,2,Angry,1,Angry,2,Angry,2,33,female
5f04790bb140144dfcfef028,난 잘하는게 하나도 없나봐.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0d9a91b140144dfcff3890,"얘는 도대체 청소를 안 해 미쳐 버리겠어.	",anger,Angry,1,Angry,2,Angry,2,Angry,2,Angry,2,33,female
5ef95e01bed0201b73513c84,퇴근한지 얼마나 됐다고 회사에서 또 연락이 왔어!,anger,Disgust,2,Angry,2,Angry,2,Angry,2,Angry,1,48,female
5efcaa90704f492ee125387a,"나 결국 헤어졌어.	",sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f047933b140144dfcfef029,밤 새워 준비한 기획안을 또 퇴짜 맞았어. 처음부터 다시 해오래.,sad,Sadness,2,Sadness,1,Sadness,2,Sadness,2,Sadness,2,48,female
5f0d9aa7b140144dfcff3894,아. 얘기 엄청 했지! 한 달 전에는 엄청 크게 뭐라고 했어. 아 근데 다 그 때뿐이야.,anger,Angry,1,Angry,2,Angry,2,Angry,2,Angry,2,33,female
5ed3478cc90a530ee56b59b9,나 남친이랑 결국 헤어졌어.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,1,33,female
5f0e76d5b140144dfcff3fd9,이 회사 들어올 때 정말 힘들게 들어왔어. 조금만 더 버텨보고.,anger,Sadness,1,Angry,1,Sadness,2,Sadness,2,Sadness,2,48,female
5f0fb7bdb140144dfcff4868,나는 잘하는 게 없나봐.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,1,35,female
5efe1642704f492ee1253d8d,나 면접 또 떨어졌어.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0d9c02b140144dfcff38bc,아. 나 면접 또 떨어졌어.,sad,Angry,1,Sadness,2,Sadness,2,Sadness,2,Sadness,2,33,female
5f0e76ef5a7f574dce591fab,다들 바빠서 얼굴 보기도 힘들어.,anger,Neutral,0,Sadness,1,Sadness,2,Sadness,2,Sadness,2,48,female
5f0d9c13b140144dfcff38bf,그냥 밖에 걷고 있어.,sad,Neutral,0,Sadness,1,Sadness,2,Sadness,2,Sadness,2,33,female
5ed347d0c90a530ee56b59ba,별다른 문제없이 만나고 있었는데 갑자기 권태기라고 시간을 갖자 그러더니 그 사이에 새로운 사람이 생겼나봐.,sad,Sadness,2,Sadness,1,Sadness,2,Sadness,2,Sadness,2,33,female
5ef95e8fbed0201b73513c8b,어제 저녁에 진짜 무서웠다.,fear,Fear,2,Fear,2,Fear,2,Fear,2,Fear,2,48,female
5f0d9c45b140144dfcff38c5,"이게 이번 공채시즌 마지막 면접 이었거든 다음 시즌에 준비해야지 뭐.	",sad,Sadness,1,Sadness,2,Sadness,2,Sadness,2,Sadness,2,33,female
5f0e7702b140144dfcff3fdc,알았어. 지금처럼 힘들 때마다 이야기 신청을 할게. 그때 들어줘.,anger,Neutral,0,Happiness,1,Sadness,2,Sadness,2,Sadness,2,48,female
5f0322e8b140144dfcfede8c,괜히 매일매일이 우울한 기분이 들어.,sad,Sadness,2,Sadness,1,Sadness,2,Sadness,2,Sadness,2,48,female
5f0d9c9b5a7f574dce591f8e,아니. 나 이번 면접 진짜 잘 봤어. 난 그래서 될 줄 알았지.,sad,Sadness,1,Sadness,2,Sadness,1,Sadness,2,Sadness,2,33,female
5f0d9cb6b140144dfcff38cc,밥 생각 별로 없어. 배도 안 고프고.,sad,Neutral,0,Sadness,1,Sadness,2,Sadness,2,Sadness,2,33,female
5f0d9de75a7f574dce591f92,내가 잘하는 게 있긴 한걸까?,sad,Sadness,1,Sadness,2,Sadness,2,Sadness,2,Sadness,2,33,female
5efcad84704f492ee1253892,"벌써 1시간이 지나고 있어 어쩜 이러지?	",anger,Angry,2,Angry,2,Angry,2,Angry,2,Angry,2,48,female
5f0d9dffb140144dfcff38eb,아 아픈데 또 밤 새서 기획안 작성해갔는데 처음부터 다시 해오래.,sad,Angry,1,Sadness,1,Sadness,2,Sadness,2,Sadness,2,33,female
5ef95f41bed0201b73513c93,으! 기숙사 화장실에 누가 토 해놨어.,disgust,Disgust,2,Disgust,2,Disgust,2,Disgust,2,Disgust,2,48,female
5efcad95704f492ee1253893,덥고 힘들어 죽겠는데 친구가 연락을 안 받아.,anger,Angry,2,Angry,2,Angry,2,Angry,2,Angry,2,48,female
5f0d9e1a5a7f574dce591f93,기운 없어서 나갈 힘도 없어.,sad,Sadness,1,Sadness,1,Sadness,2,Sadness,2,Sadness,2,33,female
5eceab4879bf120ed2b810a1,나 남친이랑 결국 헤어졌어.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,33,female
5f047c1fb140144dfcfef04a,해피가 어제 세상을 떠났어. ,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,1,48,female
5f0868b5b140144dfcff131c,"해피가 어제 세상을 떠났어.	",sad,Sadness,1,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0d9e4bb140144dfcff38f1,기획안 다시 작성해야 해서. 하. 오늘은 야근 각이야.,sad,Angry,1,Sadness,1,Sadness,2,Sadness,2,Sadness,2,33,female
5f0fba54b140144dfcff48d3,괜히 매일 우울한 기분이야.,sad,Sadness,1,Sadness,1,Sadness,2,Sadness,2,Sadness,1,35,female
5f10d4bab140144dfcff5242,벌써 다섯 번째야. 다른 데 다 떨어졌어.,sad,Sadness,1,Sadness,1,Sadness,1,Sadness,2,Sadness,2,38,female
5eceab6e2880d70f2861206f,내 생각엔 남친한테 딴 사람이 생긴 것 같아.,sad,Sadness,2,Sadness,1,Sadness,1,Sadness,2,Sadness,2,33,female
5efcadfc704f492ee1253898,해피가 어제 세상을 떠났어.,sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,1,48,female
5f047c37b140144dfcfef04b,"며칠 전부터 시름시름 앓더라고 그러더니 어제 끝내 눈을 감았어.	",sad,Sadness,2,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0868eeb140144dfcff131d,"그저께 밤에 갑자기 의식을 잃더라고 그러더니 어젯밤에 끝내 눈을 감았어.	",sad,Sadness,1,Sadness,2,Sadness,2,Sadness,2,Sadness,2,48,female
5f0d9e62b140144dfcff38f2,아니야. 내가 너무 한심하다.,sad,Sadness,1,Sadness,1,Sadness,2,Sadness,2,Sadness,2,33,female
